DrugBank ID,SMILES
DB00210,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
DB00211,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O
DB00213,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
DB00215,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
DB00216,CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4
DB00218,COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)O
DB00227,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
DB00230,CC(C)CC(CC(=O)O)CN
DB00231,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3
DB00235,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2
DB00241,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C
DB00242,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O
DB00243,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O
DB00246,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54
DB00248,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C
DB00250,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
DB00252,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
DB00254,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
DB00257,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
DB00258,CC(=O)[O-].CC(=O)[O-].[Ca+2]
DB00261,C1C2=C(C=CC(=C2Cl)Cl)N=C3N1CC(=O)N3
DB00264,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
DB00268,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
DB00273,CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C
DB00275,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O
DB00277,CN1C2=C(C(=O)N(C1=O)C)NC=N2
DB00279,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O
DB00280,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C
DB00281,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
DB00284,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO
DB00285,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
DB00287,CC(C)OC(=O)CCCC=CCC1C(CC(C1C=CC(COC2=CC=CC(=C2)C(F)(F)F)O)O)O
DB00289,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2
DB00290,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O
DB00291,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
DB00292,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2
DB00294,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
DB00295,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O
DB00296,CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
DB00297,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
DB00303,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)C(C)O
DB00304,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34
DB00305,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N
DB00310,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
DB00313,CCCC(CCC)C(=O)O
DB00315,CN(C)CCC1=CNC2=C1C=C(C=C2)CC3COC(=O)N3
